1 8.93069e+07 0.0750857 (-5.04586e+07,6.65725e+07,0) (-33.7067,-23.572,0) -1.49561
2 8.64697e+07 0.183749 (6.55897e+07,3.17894e+07,0) (-23.9157,39.1827,0) -2.04038
3 9.5707e+07 0.0775354 (-1.87166e+07,-9.94089e+07,0) (34.8664,-4.67728,0) -2.4519
4 9.37421e+07 0.144889 (-1.05616e+08,-1.83889e+07,0) (4.96297,-32.183,0) -2.85446
5 8.75146e+07 0.0405434 (2.34343e+07,8.53089e+07,0) (-36.7206,11.6472,0) 2.56227
6 9.43019e+07 0.0165238 (-6.62454e+07,-6.55841e+07,0) (26.3787,-27.2855,0) -0.0337645
7 1.04616e+08 0.119013 (-5.23266e+06,-1.16163e+08,0) (31.7276,-2.76469,0) -1.29802
8 8.21136e+07 0.0981994 (4.56701e+07,7.65065e+07,0) (-32.5929,17.3412,0) 0.557192
9 7.53897e+07 0.191501 (2.92459e+07,7.38418e+07,0) (-33.6495,21.2048,0) 2.30116
10 7.91588e+07 0.0916421 (7.05901e+07,-2.55459e+07,0) (17.7058,39.3199,0) 1.74446
