1 1.86219e+08 0.187633 (1.89412e+08,3.48351e+06,0) (4.42842,25.8639,0) 1.31041
2 1.52005e+08 0.0811301 (6.98619e+07,1.22209e+08,0) (-27.0822,16.7104,0) -2.54953
3 1.46709e+08 0.100062 (-7.21071e+07,1.42963e+08,0) (-23.979,-13.3511,0) 1.65792
4 1.61737e+08 0.039489 (-9.79618e+07,-1.21288e+08,0) (23.4033,-18.2861,0) 1.3287
5 1.39844e+08 0.131704 (-5.99612e+07,-1.46398e+08,0) (24.8727,-10.5008,0) -1.88861
6 1.59126e+08 0.0549919 (-1.35861e+08,6.96778e+07,0) (-14.7127,-26.2315,0) -1.25573
7 1.59173e+08 0.099403 (-8.27034e+07,-1.32261e+08,0) (23.3399,-17.9785,0) -0.45479
8 1.49674e+08 0.030348 (1.38683e+08,4.98652e+07,0) (-9.48368,28.7157,0) 2.42004
9 1.65864e+08 0.0755047 (6.26794e+07,-1.48424e+08,0) (27.5441,9.42315,0) 0.717507
11 1.5953e+08 0.0325243 (-9.40162e+07,1.23307e+08,0) (-23.2901,-18.3743,0) -0.369746
12 1.61344e+08 0.0813835 (7.70133e+07,-1.304e+08,0) (25.3939,16.8949,0) 2.87627
13 1.3596e+08 0.241929 (1.03286e+08,-4.37219e+07,0) (8.50193,36.3099,0) -2.59472
14 1.57229e+08 0.0440733 (-1.38207e+08,6.31018e+07,0) (-13.2537,-26.9717,0) -1.15775
15 1.15687e+08 0.3162 (1.32856e+08,2.88443e+07,0) (1.61336,28.3329,0) 0.950815
16 1.62104e+08 0.0900141 (-1.54127e+08,7.34249e+07,0) (-9.85672,-25.2791,0) 1.82895
17 1.58018e+08 0.0511472 (1.04885e+07,-1.5954e+08,0) (28.4525,3.29912,0) -2.79339
18 1.95043e+08 0.187708 (9.11313e+07,-1.50142e+08,0) (26.718,10.8231,0) 0.935604
19 1.41416e+08 0.125506 (-5.37005e+07,-1.45733e+08,0) (26.7219,-7.52535,0) -2.52061
20 1.53502e+08 0.0463837 (-1.21457e+08,1.00838e+08,0) (-17.4391,-22.6466,0) 1.573
21 1.82426e+08 0.0829191 (-1.26917e+07,1.92123e+08,0) (-25.3104,-3.25107,0) 0.858556
22 1.33679e+08 0.100654 (1.35085e+08,1.64449e+07,0) (-0.678597,30.9428,0) 1.41406
23 1.36156e+08 0.227213 (-1.39974e+08,-8.77674e+07,0) (11.6126,-22.2962,0) -2.30258
24 1.59434e+08 0.0244825 (-1.01651e+08,1.18058e+08,0) (-22.5397,-19.0655,0) -1.2352
25 1.47228e+08 0.0830154 (-4.90424e+07,1.48714e+08,0) (-27.1902,-7.38061,0) 2.53559
26 3.0601e+08 0.496823 (4.21575e+08,-1.27122e+08,0) (6.85223,11.054,0) -0.00639562
27 1.46733e+08 0.0977526 (6.36475e+07,-1.18522e+08,0) (27.9658,16.9312,0) 2.6708
28 1.64638e+08 0.0631949 (-1.60692e+07,1.62516e+08,0) (-28.2536,-4.59656,0) 0.0333529
29 1.511e+08 0.0768923 (1.03895e+08,-1.03467e+08,0) (23.0251,20.0486,0) 1.11056
30 1.59502e+08 0.0907262 (1.49392e+08,-387655,0) (2.07902,30.6682,0) 2.27448
31 1.44073e+08 0.0890585 (-1.1164e+08,7.00313e+07,0) (-18.2855,-27.5459,0) -0.879657
32 1.42644e+08 0.157002 (8.91267e+07,9.79016e+07,0) (-27.0913,18.4586,0) -1.0684
33 3.36508e+08 0.559075 (1.67682e+08,-5.23221e+07,0) (19.9285,26.8286,0) 1.87108
34 9.8428e+07 0.627873 (-3.30909e+07,1.53634e+08,0) (-16.5533,-8.16425,0) 1.6306
35 1.49541e+08 0.051341 (9.17279e+07,-1.16677e+08,0) (24.5106,17.3301,0) 0.762125
36 1.58356e+08 0.106764 (-1.20769e+08,-1.24505e+08,0) (17.9804,-19.2098,0) -1.92023
37 1.4068e+08 0.038265 (-1.35373e+08,1.95139e+07,0) (-5.32755,-31.1305,0) -0.928284
38 1.48298e+08 0.0495176 (6.3211e+07,1.32573e+08,0) (-26.6028,14.3099,0) 2.84332
39 1.92191e+08 0.187009 (-2.23988e+08,1.20295e+06,0) (1.84635,-22.1621,0) 2.73251
40 2.07949e+08 0.259606 (-1.2907e+08,9.11684e+07,0) (-15.843,-28.1195,0) -0.1105
41 1.69222e+08 0.122055 (-1.20918e+08,9.2896e+07,0) (-20.5568,-23.11,0) -1.35641
42 1.5737e+08 0.118433 (1.48889e+08,-8.71131e+07,0) (11.7047,23.6332,0) -1.08673
43 1.67218e+08 0.0673745 (1.5344e+08,2.85765e+07,0) (-5.81307,29.5524,0) -2.79697
44 1.63761e+08 0.0860488 (1.67211e+07,1.48907e+08,0) (-30.8529,3.04289,0) -1.51139
45 1.58584e+08 0.0692648 (2.6878e+07,1.66435e+08,0) (-26.9256,3.56105,0) 1.01344
46 1.6365e+08 0.0732632 (-1.21564e+08,1.18922e+08,0) (-17.901,-20.7252,0) 1.42128
47 1.55934e+08 0.0565671 (-1.48803e+08,-3.95461e+07,0) (9.15218,-28.0935,0) 1.66132
48 1.4785e+08 0.0122548 (-3.98148e+07,1.43607e+08,0) (-28.7188,-7.67428,0) 2.69775
49 1.58164e+08 0.038996 (-1.05787e+08,1.25478e+08,0) (-21.147,-18.1974,0) 2.01905
50 1.71372e+08 0.076842 (-1.52213e+08,-8.46967e+07,0) (15.0699,-22.8562,0) 2.36884
51 1.77021e+08 0.21857 (-5.98807e+07,-1.96119e+08,0) (23.1024,-3.33072,0) -2.48653
52 1.54256e+08 0.0619325 (1.49369e+08,-2.54075e+07,0) (3.25178,29.6832,0) -1.97043
53 1.54701e+08 0.0875745 (-1.34111e+08,7.57308e+07,0) (-12.1711,-26.7872,0) 1.09391
54 1.60592e+08 0.100695 (-9.17674e+07,1.46741e+08,0) (-21.5976,-15.5211,0) 1.50232
55 1.61366e+08 0.0780069 (-9.16487e+07,1.20401e+08,0) (-25.1335,-17.3266,0) -1.61457
56 1.59735e+08 0.0430111 (7.70609e+07,1.42484e+08,0) (-24.4311,14.5265,0) 2.27141
57 9.25641e+07 0.651494 (1.4931e+07,1.46753e+08,0) (-18.581,-4.52217,0) 1.27194
58 1.20585e+08 0.321609 (6.05843e+07,7.64761e+07,0) (-23.8445,32.4299,0) 2.81444
59 2.27413e+09 0.932939 (-6.58751e+08,-2.27324e+08,0) (-11.7778,-13.5602,0) -1.9053
60 1.38728e+08 0.0104584 (1.07785e+08,8.52394e+07,0) (-19.4795,24.4061,0) -2.02515
61 1.43848e+08 0.173951 (1.20451e+08,2.51356e+07,0) (-3.78277,34.9354,0) 2.65299
62 1.66945e+08 0.101409 (1.50977e+08,-4.64271e+07,0) (6.26706,29.0923,0) -2.34054
63 1.68183e+08 0.0475181 (1.05728e+08,1.39469e+08,0) (-21.0877,16.8216,0) 1.44367
64 1.67506e+08 0.113045 (1.76115e+08,-3.68858e+07,0) (3.15028,25.9431,0) -0.978725
65 1.25858e+08 0.295345 (1.38082e+08,-5.61041e+07,0) (3.99754,26.6562,0) -1.06821
66 1.97709e+08 0.165252 (1.82697e+08,-9.17802e+07,0) (14.7135,20.2634,0) 0.737578
67 1.79536e+08 0.085464 (1.81339e+08,-3.2422e+07,0) (2.52373,26.3711,0) -1.35746
68 1.65217e+08 0.0850105 (1.12835e+08,-1.10137e+08,0) (22.195,19.6891,0) 1.29071
69 1.58207e+08 0.106056 (-1.67214e+08,1.59141e+07,0) (-0.227519,-27.2297,0) 2.18071
70 1.69353e+08 0.0164314 (-1.6597e+08,2.00364e+07,0) (-3.68681,-28.1183,0) -0.802591
71 1.43152e+08 0.0469308 (-1.76542e+07,-1.48391e+08,0) (28.8771,-3.92225,0) -1.34461
72 1.71336e+08 0.0832001 (2.51557e+07,-1.7209e+08,0) (26.7139,6.17248,0) -2.73296
73 1.48914e+08 0.0449351 (1.21301e+08,-9.74566e+07,0) (17.9137,22.2234,0) -0.642687
74 2.13448e+08 0.229273 (-4.41275e+07,-1.69677e+08,0) (29.6992,-3.21473,0) 2.15378
75 1.18666e+08 0.434287 (-1.01242e+08,-5.94332e+07,0) (2.75911,-33.6924,0) -1.46691
76 1.50268e+08 0.0691155 (-1.55653e+08,-3.97145e+07,0) (6.95377,-26.8503,0) -2.94025
77 2.26282e+08 0.328946 (-2.38028e+08,-1.52277e+08,0) (6.35397,-17.6787,0) -2.05482
78 1.55402e+08 0.0674161 (1.33353e+08,5.8315e+07,0) (-13.1281,28.2403,0) -2.35973
79 1.64025e+08 0.047598 (-1.22381e+08,-1.12895e+08,0) (18.0507,-21.4331,0) -1.19321
80 1.75809e+08 0.0618881 (-1.20674e+08,1.31158e+08,0) (-21.016,-17.1136,0) -2.6818
81 1.47059e+08 0.0807595 (1.125e+08,-1.12128e+08,0) (19.3672,19.8417,0) -0.902991
82 1.72884e+08 0.0445723 (1.6544e+08,2.56768e+07,0) (-3.49534,28.3849,0) 2.48098
83 1.66633e+08 0.0532298 (1.1486e+08,-1.08217e+08,0) (20.5256,21.5496,0) 2.27819
84 1.54429e+08 0.0260834 (-4.69979e+06,1.58196e+08,0) (-28.5919,-0.622318,0) 1.90178
85 1.51006e+08 0.0915862 (1.1162e+08,-7.98079e+07,0) (18.7127,26.5625,0) 2.60431
86 1.62221e+08 0.0437312 (-9.34762e+07,1.26461e+08,0) (-24.2548,-16.7816,0) -1.76211
87 1.51707e+08 0.0788588 (6.56215e+07,1.34769e+08,0) (-25.8109,15.1634,0) 2.76195
88 1.81289e+08 0.0851222 (1.52277e+08,-1.22649e+08,0) (16.3218,18.9517,0) -0.313806
89 1.61518e+08 0.0157631 (1.03431e+08,1.22475e+08,0) (-22.3235,18.3282,0) -1.1834
90 1.68868e+08 0.0799864 (1.44613e+08,-6.94644e+07,0) (14.3986,25.718,0) 1.73344
91 1.67247e+08 0.0672443 (1.61558e+08,7.36432e+07,0) (-11.6328,23.7958,0) 0.0415191
93 1.48896e+08 0.0444058 (1.39153e+08,-6.93104e+07,0) (12.5993,25.6416,0) -0.578668
94 1.8128e+08 0.145511 (-1.56304e+08,-4.03724e+07,0) (4.69826,-29.8364,0) -0.568269
95 1.60277e+08 0.0523709 (3.91812e+07,1.62266e+08,0) (-26.6156,7.33448,0) 1.95839
