1 8.9314e+07 0.0751278 (-1.56486e+06,-9.59786e+07,0) (35.7595,-0.848425,0) -1.49561
2 8.64368e+07 0.184076 (-8.92431e+07,8.17647e+06,0) (-10.1784,-36.3746,0) -2.04152
3 9.55745e+07 0.0776263 (-3.95819e+07,8.45783e+07,0) (-35.6414,-13.5568,0) -2.47899
4 9.0294e+07 0.110316 (7.85329e+07,1.74304e+07,0) (-9.95757,41.6049,-0) -2.75647
5 8.76338e+07 0.0411881 (-8.68003e+07,-2.35547e+07,0) (11.0828,-36.2524,0) 2.56001
6 9.42135e+07 0.015733 (5.82317e+07,7.51616e+07,0) (-29.6892,22.4012,0) -0.0221002
7 1.04716e+08 0.119497 (-1.00398e+08,-5.15852e+06,0) (-2.28159,-36.9862,0) -1.29362
8 8.2046e+07 0.0982665 (-4.19756e+07,6.96833e+07,0) (-32.5323,-24.2331,-0) 0.554134
9 7.54582e+07 0.190559 (4.89546e+07,5.61489e+07,0) (-26.1279,33.4969,0) 2.29916
10 8.18135e+07 0.103727 (7.65853e+07,1.85851e+07,0) (-5.86626,41.3742,0) 2.07186
