1 1.57938e+08 0.0943543 (5.38156e+07,1.60938e+08,0) (-24.979,10.0015,0) 1.85351
2 1.63213e+08 0.0171088 (-1.35658e+08,9.54784e+07,0) (-16.2591,-22.8627,0) 2.81353
3 1.59101e+08 0.0762029 (1.5611e+08,2.18368e+07,0) (-1.84306,29.0945,0) 1.7553
4 1.62243e+08 0.0133332 (1.64393e+08,498377,0) (-0.0449587,28.2269,0) 0.109718
5 1.63585e+08 0.0202823 (9.55434e+06,1.63426e+08,0) (-28.3771,2.23695,0) 3.02683
6 1.58055e+08 0.064767 (-1.50144e+08,-324971,0) (-1.1882,-30.4455,0) -0.72768
7 1.6258e+08 0.0717117 (1.48231e+08,-9.11131e+07,0) (14.2779,22.4831,0) -0.359956
8 1.5662e+08 0.0816629 (1.50399e+08,4.28344e+06,0) (1.30812,30.2526,0) 2.02865
9 1.58264e+08 0.0812272 (-8.0475e+07,1.37992e+08,0) (-23.5375,-16.4068,0) 0.723747
10 1.50635e+08 0.0511166 (-1.13426e+08,-8.80865e+07,0) (18.5573,-24.9602,0) 0.216059
11 1.63865e+08 0.0401331 (1.62301e+08,1.44123e+07,0) (-1.39688,28.5887,0) 1.76061
12 1.59977e+08 0.0164743 (1.51924e+08,4.97264e+07,0) (-9.41705,27.2459,-0) -1.28436
13 1.64421e+08 0.0394228 (1.54307e+08,-3.54192e+07,0) (6.21369,28.8261,-0) -3.00926
14 1.55969e+08 0.0164643 (-6.28132e+07,-1.44978e+08,0) (26.3057,-11.7135,0) -1.33105
15 1.50309e+08 0.021132 (5.84894e+07,-1.39762e+08,0) (27.4136,10.8469,0) -0.00977481
16 1.5048e+08 0.0572222 (-4.72945e+07,-1.34475e+08,0) (29.2967,-11.0444,0) 0.809589
17 1.59375e+08 0.0658453 (5.08841e+07,-1.43832e+08,0) (27.8559,11.4571,-0) 2.82693
18 1.51851e+08 0.0901302 (1.53383e+08,2.05474e+07,0) (-6.36915,28.2986,0) -1.13665
19 1.54391e+08 0.0284967 (-3.56987e+07,1.53251e+08,0) (-28.1458,-5.93399,0) 2.61088
20 1.53869e+08 0.0616487 (9.87221e+07,1.0553e+08,0) (-22.5818,21.5527,0) -2.49585
21 1.60432e+08 0.038519 (1.24253e+08,1.03762e+08,0) (-19.0783,21.1805,0) -0.601126
22 1.57453e+08 0.0258936 (-7.5926e+06,-1.60314e+08,0) (28.4671,-0.856322,0) -2.33009
23 1.59626e+08 0.0256172 (-1.46159e+08,-6.08616e+07,0) (10.521,-27.1028,0) -0.876628
24 1.62626e+08 0.0166535 (6.42908e+07,-1.50442e+08,0) (26.2842,10.7528,0) 0.0189795
25 1.61374e+08 0.0823193 (4.02959e+07,1.54762e+08,0) (-27.3153,9.55926,0) 2.91411
26 1.50304e+08 0.0981138 (-9.72473e+07,-9.51052e+07,0) (23.4234,-22.8024,-0) 1.0519
27 1.50625e+08 0.0588508 (-1.48763e+08,5.71931e+07,0) (-10.294,-26.0481,0) 2.92424
28 1.55703e+08 0.017855 (-7.83514e+07,-1.34255e+08,0) (24.9935,-15.1883,0) -0.453179
29 1.51515e+08 0.0126771 (-6.41799e+07,-1.36648e+08,0) (27.0392,-12.3007,-0) 2.42656
30 1.60544e+08 0.0630934 (4.5396e+07,1.63926e+08,0) (-25.9512,7.7779,0) 1.61946
31 1.61465e+08 0.0148956 (-1.16282e+08,-1.14636e+08,0) (20.0987,-19.9949,0) -3.06435
32 1.57841e+08 0.0954991 (1.47483e+08,4.06759e+07,0) (-10.5263,27.9914,-0) -1.53741
33 1.62441e+08 0.03646 (-1.17133e+08,1.20881e+08,0) (-19.8809,-19.1,0) 2.45393
34 1.6215e+08 0.0177638 (1.40158e+08,7.89172e+07,0) (-13.7509,25.3534,0) 2.53662
35 1.52638e+08 0.0350747 (-1.37706e+08,-5.37252e+07,0) (11.4933,-28.1833,-0) 0.836627
36 1.5899e+08 0.0885676 (7.62916e+07,-1.49497e+08,0) (23.4272,14.0726,0) -1.92311
37 1.55492e+08 0.0171387 (-1.83387e+07,-1.55888e+08,0) (28.6933,-3.79197,0) -0.716053
38 1.5147e+08 0.0306218 (-1.00845e+08,-1.10299e+08,0) (22.6909,-19.6253,-0) 1.97847
39 1.58126e+08 0.0320082 (-1.99062e+07,1.52702e+08,0) (-29.5573,-3.29839,0) -2.07568
40 1.54216e+08 0.0785471 (1.61436e+08,2.66564e+07,0) (-3.14073,27.4212,0) 0.797214
41 1.57896e+08 0.0622237 (1.66925e+08,-1.46703e+07,0) (2.09015,27.1895,0) -0.253418
42 1.55736e+08 0.0950781 (1.24237e+08,9.04649e+07,0) (-19.588,22.168,-0) -0.985526
43 1.59378e+08 0.0504826 (-1.55025e+08,6.04169e+07,0) (-10.6655,-25.4754,0) -3.02302
44 1.5955e+08 0.0590522 (-9.47469e+07,-1.39905e+08,0) (22.4898,-15.2785,0) -2.14284
45 1.49813e+08 0.0687714 (-8.13962e+07,1.19692e+08,0) (-24.3781,-18.8093,-0) 0.144004
46 1.6146e+08 0.0375448 (1.56103e+08,1.39302e+06,0) (0.258811,29.6382,0) 2.64331
47 1.61341e+08 0.0812323 (5.57584e+07,1.48687e+08,0) (-26.3815,12.3735,0) 2.89768
48 1.55133e+08 0.0801748 (1.26491e+08,6.85789e+07,0) (-14.0341,28.1509,0) -3.12158
49 1.51259e+08 0.0666653 (-1.43703e+08,7.21719e+07,0) (-13.0114,-24.5775,0) 2.98244
50 1.57575e+08 0.01565 (1.1461e+08,1.10663e+08,0) (-20.1667,20.4277,0) -0.00803151
51 1.63488e+08 0.0750568 (-1.25102e+08,-1.20714e+08,0) (19.3302,-18.4802,0) -2.90077
52 1.60562e+08 0.0623846 (1.44493e+08,-6.66656e+07,0) (10.5037,27.042,-0) -2.08436
53 1.64194e+08 0.0605011 (1.60989e+08,-4.10363e+07,0) (8.5438,26.7681,0) 1.0653
54 1.52643e+08 0.049676 (-9.0843e+07,-1.16991e+08,0) (24.7167,-17.6585,-0) 1.88261
55 1.58975e+08 0.0523646 (-1.11577e+07,-1.62842e+08,0) (27.9529,-3.1856,0) -0.648495
56 1.57727e+08 0.0522154 (-1.46068e+08,7.73085e+07,0) (-13.4485,-24.1651,0) 3.04879
57 1.54698e+08 0.0128568 (1.30626e+08,-8.00829e+07,0) (15.2398,25.345,-0) -2.9497
58 1.63143e+08 0.0892471 (1.30921e+08,1.1176e+08,0) (-18.9256,19.2475,0) -0.130099
59 1.57394e+08 0.0278893 (2.77529e+07,1.58322e+08,0) (-28.0878,4.40163,0) 0.709801
60 1.4998e+08 0.0286014 (-1.2302e+08,9.20918e+07,0) (-17.0544,-23.4882,0) 1.97864
61 1.59097e+08 0.0548143 (-1.62498e+08,-4.18951e+07,0) (6.87979,-26.4642,0) -2.92395
62 1.56749e+08 0.0806371 (-1.67748e+08,-7.91806e+06,0) (0.257658,-27.0917,0) -2.64632
